央视频道,#genre#
CCTV1,https://live.ottiptv.cc/mcp/cctv1.m3u8?userid=1935186284&sign=e6f9c0331e990ad6f1eac8760c0a0889faf26376aede7b892e9aa651ef59e769691972bd03e4fc4eb060b5255ac8f4a9d34c3a4583fc341d51adf30d64c1e6a10146a895e19b84224a1fb4dd4c&auth_token=9fd4968f9694d07426f806434b9d3dcc
CCTV2,https://live.ottiptv.cc/mcp/cctv2.m3u8?userid=1935186284&sign=8498c3c294d282c5523b361e77731e1f9f81bce14681fe017cb852a0968de7fda3d8e9b26f57be909d4fa9550c84bf53b4032b8e7999af727b2141c4a91c1b1dab3e50f6f2bf203ef3b2c67f66&auth_token=9fd4968f9694d07426f806434b9d3dcc
CCTV3,https://live.ottiptv.cc/mcp/cctv3.m3u8?userid=1935186284&sign=390e44a17fd4f3f41a05ec447857dca93d8047b1c9f564c7c54624257e56f1d276198fa5b2ec89b2dd8e36a08b0a9add69da0052e7e90c6f2e5ca635c66118b6b766218bcf74b0e8d85d926ca9&auth_token=9fd4968f9694d07426f806434b9d3dcc
CCTV4,https://live.ottiptv.cc/mcp/cctv4.m3u8?userid=1935186284&sign=ed19348cf23d27f2267d46623cc474014ee57d13006b2e16275a51062ae1523ceb4db7f50ce99afd14de3910ba8005c03db42d00b33fd4a79b4a8b62728ef45fc8f3a34dd1112bd37df95a836c&auth_token=9fd4968f9694d07426f806434b9d3dcc
CCTV5,https://live.ottiptv.cc/mcp/cctv5.m3u8?userid=1935186284&sign=aaa2ffa62681f374d91f5e3c2a1d7d7f37bc7e3438bb9326e441f742c99ebc12e3f77545939571ed69a4ea0fd214f740e5b48bc1c3c8cb7720e1126b60daef48257ea1c51f469b16c5e7c797de&auth_token=9fd4968f9694d07426f806434b9d3dcc
CCTV5+,https://live.ottiptv.cc/mcp/cctv5p.m3u8?userid=1935186284&sign=128f5e6a52fe404215d574b0e1dcd9c37120ebd789210ee496cc01bde7a0d834f3ab96a1a3f73147298f251517c686647a5eca64ab83b06bb3fa82466fae9ae2b2087805cc22390cc0aa7ef084c7&auth_token=9fd4968f9694d07426f806434b9d3dcc
CCTV6,https://live.ottiptv.cc/mcp/cctv6.m3u8?userid=1935186284&sign=6edc70a887eb20a8f4b683070ef6008db5496cd89294c7bc68d738361550d3442cc47e1d0075c6efdecd8ae1644fc74c8fb7f43632ffcbd827ec3649226efc09029e4974e95faed0fe948ecc34&auth_token=9fd4968f9694d07426f806434b9d3dcc
CCTV7,https://live.ottiptv.cc/mcp/cctv7.m3u8?userid=1935186284&sign=2975fad48391e75431b5f9732d521b9b132e1814a7c6eeff6e383e6ff228b91e104bdf034ea0ed81752613ceaf49498dec82198828acdab9fd6f6408e307b9b9f83242768ff39635abbe79518c&auth_token=9fd4968f9694d07426f806434b9d3dcc
CCTV8,https://live.ottiptv.cc/mcp/cctv8.m3u8?userid=1935186284&sign=bc77f7e81943a25a0c9bd5bdf81648e218e643474a71089f9a16e4e296cb20148d2d559c0c00e28e1b4d12f0c75c62909cff35e111cf1bad998487c25f98e2c095afea2b084fa2fdce01482a9f&auth_token=9fd4968f9694d07426f806434b9d3dcc
CCTV9,https://live.ottiptv.cc/mcp/cctv9.m3u8?userid=1935186284&sign=57ea87540aaa1a4b6f301afb739f366aee8d4eb274961b4246e54fc885c0b233ed73360da707454f0fe829a42a7df61df571d8946f8a51f042b3a0db9bb3b7ac1c3e0d9f572ec06ebc4e737728&auth_token=9fd4968f9694d07426f806434b9d3dcc
