央视频道,#genre#
CCTV1,http://127.0.0.1:35456/ysptx/cctv1.m3u8$低码
CCTV1,http://127.0.0.1:35456/ysptx/cctv1.m3u8?defn=sfhd$AV3A低码
CCTV1,http://127.0.0.1:35456/gaoma/cctv1.m3u8?defn=sfhd$高码

CCTV2,http://127.0.0.1:35456/ysptx/cctv2.m3u8$低码
CCTV2,http://127.0.0.1:35456/ysptx/cctv2.m3u8?defn=sfhd$AV3A低码
CCTV2,http://127.0.0.1:35456/gaoma/cctv2.m3u8?defn=sfhd$高码

CCTV3,http://127.0.0.1:35456/ysptx/cctv3.m3u8$低码
CCTV3,http://127.0.0.1:35456/ysptx/cctv3.m3u8?defn=sfhd$AV3A低码
CCTV3,http://127.0.0.1:35456/gaoma/cctv3.m3u8?defn=sfhd$高码

CCTV4,http://127.0.0.1:35456/ysptx/cctv4.m3u8$低码
CCTV4,http://127.0.0.1:35456/ysptx/cctv4.m3u8?defn=sfhd$AV3A低码
CCTV4,http://127.0.0.1:35456/gaoma/cctv4.m3u8?defn=sfhd$高码

CCTV5,http://127.0.0.1:35456/ysptx/cctv5.m3u8$低码
CCTV5,http://127.0.0.1:35456/ysptx/cctv5.m3u8?defn=sfhd$AV3A低码
CCTV5,http://127.0.0.1:35456/gaoma/cctv5.m3u8?defn=sfhd$高码

CCTV6,http://127.0.0.1:35456/ysptx/cctv6.m3u8$低码
CCTV6,http://127.0.0.1:35456/ysptx/cctv6.m3u8?defn=sfhd$AV3A低码
CCTV6,http://127.0.0.1:35456/gaoma/cctv6.m3u8?defn=sfhd$高码

CCTV7,http://127.0.0.1:35456/ysptx/cctv7.m3u8$低码
CCTV7,http://127.0.0.1:35456/ysptx/cctv7.m3u8?defn=sfhd$AV3A低码
CCTV7,http://127.0.0.1:35456/gaoma/cctv7.m3u8?defn=sfhd$高码

CCTV8,http://127.0.0.1:35456/ysptx/cctv8.m3u8$低码
CCTV8,http://127.0.0.1:35456/ysptx/cctv8.m3u8?defn=sfhd$AV3A低码
CCTV8,http://127.0.0.1:35456/gaoma/cctv8.m3u8?defn=sfhd$高码

CCTV9,http://127.0.0.1:35456/ysptx/cctv9.m3u8$低码
CCTV9,http://127.0.0.1:35456/ysptx/cctv9.m3u8?defn=sfhd$AV3A低码
CCTV9,http://127.0.0.1:35456/gaoma/cctv9.m3u8?defn=sfhd$高码

CCTV10,http://127.0.0.1:35456/ysptx/cctv10.m3u8$低码
CCTV10,http://127.0.0.1:35456/ysptx/cctv10.m3u8?defn=sfhd$AV3A低码
CCTV10,http://127.0.0.1:35456/gaoma/cctv10.m3u8?defn=sfhd$高码

CCTV11,http://127.0.0.1:35456/ysptx/cctv11.m3u8$低码
CCTV11,http://127.0.0.1:35456/ysptx/cctv11.m3u8?defn=sfhd$AV3A低码
CCTV11,http://127.0.0.1:35456/gaoma/cctv11.m3u8?defn=sfhd$高码

CCTV12,http://127.0.0.1:35456/ysptx/cctv12.m3u8$低码
CCTV12,http://127.0.0.1:35456/ysptx/cctv12.m3u8?defn=sfhd$AV3A低码
CCTV12,http://127.0.0.1:35456/gaoma/cctv12.m3u8?defn=sfhd$高码

CCTV13,http://127.0.0.1:35456/ysptx/cctv13.m3u8$低码
CCTV13,http://127.0.0.1:35456/ysptx/cctv13.m3u8?defn=sfhd$AV3A低码
CCTV13,http://127.0.0.1:35456/gaoma/cctv13.m3u8?defn=sfhd$高码

CCTV14,http://127.0.0.1:35456/ysptx/cctv14.m3u8$低码
CCTV14,http://127.0.0.1:35456/ysptx/cctv14.m3u8?defn=sfhd$AV3A低码
CCTV14,http://127.0.0.1:35456/gaoma/cctv14.m3u8?defn=sfhd$高码

CCTV15,http://127.0.0.1:35456/ysptx/cctv15.m3u8$低码
CCTV15,http://127.0.0.1:35456/ysptx/cctv15.m3u8?defn=sfhd$AV3A低码
CCTV15,http://127.0.0.1:35456/gaoma/cctv15.m3u8?defn=sfhd$高码

CCTV16,http://127.0.0.1:35456/ysptx/cctv16.m3u8$低码
CCTV16,http://127.0.0.1:35456/ysptx/cctv16.m3u8?defn=sfhd$AV3A低码
CCTV16,http://127.0.0.1:35456/gaoma/cctv16.m3u8?defn=sfhd$高码

CCTV17,http://127.0.0.1:35456/ysptx/cctv17.m3u8$低码
CCTV17,http://127.0.0.1:35456/ysptx/cctv17.m3u8?defn=sfhd$AV3A低码
CCTV17,http://127.0.0.1:35456/gaoma/cctv17.m3u8?defn=sfhd$高码

CCTV4K,http://127.0.0.1:35456/ysptx/cctv4k.m3u8$低码
CCTV4K,http://127.0.0.1:35456/gaoma/cctv4k_10m.m3u8?defn=sfhd$高码

CCTV8K,http://127.0.0.1:35456/ysptx/cctv8k.m3u8$低码
CCTV8K,http://127.0.0.1:35456/gaoma/cctv1_10m.m3u8?defn=sfhd$高码

卫视频道,#genre#
北京卫视,http://127.0.0.1:35456/ysptx/beijing.m3u8$低码














