港台,#genre#
翡翠台,http://mytv6688.xyz/smt.php?id=jade_twn
翡翠台,http://mytv6688.xyz/smt.php?id=Jade_xue
无线新闻台,http://mytv6688.xyz/smt.php?id=inews_twn
J 2,http://mytv6688.xyz/smt.php?id=j2_twn
珍珠台,http://mytv6688.xyz/smt.php?id=pearl_twn
HOY资讯台,http://mytv6688.xyz/smt.php?id=hoycaijing_twn
TVB星河,http://mytv6688.xyz/smt.php?id=Xinhe
TVBS News 新闻台,http://mytv6688.xyz/smt.php?id=tvbs_n
TVBS 欢乐台 （备份）,http://mytv6688.xyz/smt.php?id=tvbshuanle_twn
TVBS HD,http://mytv6688.xyz/smt.php?id=tvbs
中天新闻 HD,http://mytv6688.xyz/smt.php?id=ctinews
中天娱乐 CTI Entertaiment,http://mytv6688.xyz/smt.php?id=ctient
中天综合 CTI Metro,http://mytv6688.xyz/smt.php?id=ctizhonghe
中天亚洲台,http://mytv6688.xyz/smt.php?id=ctiasia_twn
台视 TTV HD,http://mytv6688.xyz/smt.php?id=ttv_taiwan
台视新闻台,http://mytv6688.xyz/smt.php?id=ttvnews_twn
台视综合台,http://mytv6688.xyz/smt.php?id=ttvzhonghe
中视 HD,http://mytv6688.xyz/smt.php?id=zhongshihd_twn
中视新闻台,http://mytv6688.xyz/smt.php?id=zhongshinews_twn
民视 HD,http://mytv6688.xyz/smt.php?id=ftvhd_taiwan
民视新闻台 FTV News,http://mytv6688.xyz/smt.php?id=ftvnew_taiwan
民视台湾台,http://mytv6688.xyz/smt.php?id=ftvtaiwan_twn
华视 CTS HD,http://mytv6688.xyz/smt.php?id=ctshd_twn
公视 CTV,http://mytv6688.xyz/smt.php?id=ctv18_twn
八大第一 GTV First,http://mytv6688.xyz/smt.php?id=badafirst
八大综合 GTV Metro,http://mytv6688.xyz/smt.php?id=badazhonghe
八大戏剧 GTV Drama,http://mytv6688.xyz/smt.php?id=badadrama
八大娱乐 GTV Entertainment,http://mytv6688.xyz/smt.php?id=badaentertain
HBO_HD,http://mytv6688.xyz/smt.php?id=hbohd_twn
HBO_HITS,http://mytv6688.xyz/smt.php?id=hbohit_twn
Hollywood Movies,http://mytv6688.xyz/smt.php?id=hollywoodmovies_twn
三立台湾 Sanli Taiwan,http://mytv6688.xyz/smt.php?id=sanlitaiwan
三立戏剧台,http://mytv6688.xyz/smt.php?id=sanlixiju_twn
三立综合 Sanli Metro,http://mytv6688.xyz/smt.php?id=sanlizhonghe
三立都会台,http://mytv6688.xyz/smt.php?id=sanlidouhui
东森新闻 ETTV News,http://mytv6688.xyz/smt.php?id=ettvnews
CINEMAX,http://mytv6688.xyz/smt.php?id=cinemax_twn
东森综合 ETTV Metro,http://mytv6688.xyz/smt.php?id=ettvzhonghe
东森戏剧 ETTV Drama,http://mytv6688.xyz/smt.php?id=ettvdrama
东森超视,http://mytv6688.xyz/smt.php?id=ettvsuper
东森财经新闻 ETTV Business,http://mytv6688.xyz/smt.php?id=ettvcaijing_twn
寰宇财经,http://mytv6688.xyz/smt.php?id=huanyutaiwan_twn
寰宇新闻台,http://mytv6688.xyz/smt.php?id=huanyuxinwen_twn
公视2,http://mytv6688.xyz/smt.php?id=ctv2_twn
大爱1台,http://mytv6688.xyz/smt.php?id=daai_twn
非凡新闻台,http://mytv6688.xyz/smt.php?id=feifannews_twn
龙华戏剧 Lunghua Drama,http://mytv6688.xyz/smt.php?id=lunghuaxiju_twn
龙华经典台,http://mytv6688.xyz/smt.php?id=lunghuajingdian_twn
龙华偶像,http://mytv6688.xyz/smt.php?id=lunghuaidol_twn
AXN Taiwan,http://mytv6688.xyz/smt.php?id=axn_twn
靖天国际台,http://mytv6688.xyz/smt.php?id=jingtianintl_twn
年代新闻,http://mytv6688.xyz/smt.php?id=niandainews_twn
纬来日本台,http://mytv6688.xyz/smt.php?id=videolandjapan
纬来电影台,http://mytv6688.xyz/smt.php?id=videolandmovie
纬来体育台,http://mytv6688.xyz/smt.php?id=videolandsport
纬来综合台,http://mytv6688.xyz/smt.php?id=videolandzonghe
纬来育乐,http://mytv6688.xyz/smt.php?id=videolandyule
